,Unnamed: 0,ALT_NORMAL,ALTGEOM,AR_LIVRE,GRAVIDADE,INSTITUICA,LATITUDE,LONGITUDE,X,Y,__X,__Y,_x,_y,distance_to_main_line,Path_Distance
25,9320,930.475742606232,932.788519824363,24.4131048156754,978671.13,ANP,-24.69651094,-50.88380207,5315321.6442586,7263980.68193186,5315321.6442586,7263980.68193186,5315321.6442586,7263980.68193186,22260.68888144481,87280.36421748484
26,9254,933.492258824666,935.784581177266,25.2652459672355,978670.67,ANP,-24.69094095,-50.88412208,5315303.296187,7264598.99427916,5315303.296187,7264598.99427916,5315303.296187,7264598.99427916,21844.410825380688,87898.94873924034
27,9253,945.819010023566,948.111107016496,26.4260397084407,978667.84,ANP,-24.68819092,-50.88129207,5315596.55337918,7264897.39772334,5315596.55337918,7264897.39772334,5315596.55337918,7264897.39772334,21872.911115419043,88317.33181282683
28,9252,952.839061770949,955.140843239664,26.7345277870936,978665.72,ANP,-24.68435098,-50.87276201,5316469.30355535,7265303.50485424,5316469.30355535,7265303.50485424,5316469.30355535,7265303.50485424,22271.347962650878,89279.94070109478
29,9273,956.461849971559,958.773394980091,27.0886115692434,978664.76,ANP,-24.68148099,-50.86584192,5317176.7463636,7265605.74016156,5317176.7463636,7265605.74016156,5317176.7463636,7265605.74016156,22611.85457552183,90049.24006280962
30,34259,933.05,0.0,0.0,978670.63,ANP,-24.68,-50.86,5317771.60225685,7265756.43151162,5317771.60225685,7265756.43151162,5317771.60225685,7265756.43151162,22965.48373283586,90662.88606558157
31,9265,966.938741170862,969.239718819603,28.6801683211832,978662.65,ANP,-24.67462092,-50.86682184,5317094.95786817,7266368.62715712,5317094.95786817,7266368.62715712,5317094.95786817,7266368.62715712,22053.327788022343,91575.3723049856
32,9266,971.344446680323,973.645212676226,29.0737757927784,978661.51,ANP,-24.67207095,-50.86417184,5317369.56390175,7266645.23471565,5317369.56390175,7266645.23471565,5317369.56390175,7266645.23471565,22081.848804416662,91965.14174339065
33,9267,961.600707098509,963.901394968957,27.8425578119641,978663.22,ANP,-24.67113093,-50.86001183,5317792.89871859,7266739.83640723,5317792.89871859,7266739.83640723,5317792.89871859,7266739.83640723,22341.73689058338,92398.91800737755
34,9268,952.974937188178,955.285556031725,26.46864633234,978664.45,ANP,-24.67030093,-50.85347177,5318456.80034586,7266816.70766289,5318456.80034586,7266816.70766289,5318456.80034586,7266816.70766289,22795.829859981208,93067.25516827697
35,9269,946.442095301724,948.752366711207,26.2289922134894,978665.94,ANP,-24.66613092,-50.85282178,5318533.17075746,7267277.56030372,5318533.17075746,7267277.56030372,5318533.17075746,7267277.56030372,22553.935136998607,93534.39283142127
